Realization	utility	week	infra.
4	0	1982	8
10	0	2087	8
14	0	2191	8
15	0	1774	8
21	0	1565	8
29	0	1513	8
35	0	1930	8
35	0	2191	4
47	0	2191	8
48	0	2191	8
52	0	1669	8
56	0	1930	8
65	0	2087	8
66	0	2035	8
71	0	2295	8
74	0	2139	8
87	0	2295	8
91	0	1617	8
93	0	1722	8
93	0	2139	4
0	1	2087	11
3	1	2035	11
15	1	1669	11
15	1	1982	5
29	1	1982	11
29	1	2295	5
30	1	2035	11
35	1	1722	11
35	1	2035	5
41	1	2035	11
43	1	2139	11
51	1	1982	11
51	1	2295	5
56	1	1826	11
56	1	2139	5
72	1	2295	11
74	1	1982	11
74	1	2295	5
82	1	2191	11
93	1	1826	11
93	1	2139	5
95	1	2139	11
35	2	2191	4
93	2	2139	4
