Realization,utility,infra.,period,UniqueCount
Path 0 {0},3,20,10's - 14's,91
Path 0 {0},3,9,40's - 44's,35
Path 0 {3},3,20,30's - 34's,72
Path 0 {4},3,20,20's - 24's,84
Path 0 {4},3,9,25's - 29's,37
Path 0 {4},3,12,30's - 34's,45
Path 0 {5},3,20,15's - 19's,218
Path 0 {6},3,20,35's - 39's,11
Path 0 {10},3,9,45's - 49's,16
Path 0 {20},3,9,35's - 39's,26
Path 0 {26},3,20,25's - 29's,98
Path 0 {28},3,9,30's - 34's,74
Path 0 {53},3,12,40's - 44's,10
Path 0 {74},3,20,40's - 44's,23
Path 0 {87},3,12,35's - 39's,31
Path 0 {131},3,12,45's - 49's,4
Path 0 {136},3,9,20's - 24's,25
Path 0 {136},3,12,25's - 29's,10
Path 0 {629},3,20,45's - 49's,3
Path 1 {4},3,12,40's - 44's,30
Path 1 {58},3,12,30's - 34's,3
Path 1 {135},3,12,25's - 29's,2
Path 1 {189},3,12,45's - 49's,5
Path 1 {206},3,12,35's - 39's,3
Path 1 {206},3,9,45's - 49's,1
Path 1 {281},3,9,35's - 39's,1
Path 2 {0},3,20,15's - 19's,41
Path 2 {4},3,20,25's - 29's,59
Path 2 {4},3,12,35's - 39's,21
Path 2 {4},3,9,40's - 44's,10
Path 2 {10},3,20,40's - 44's,25
Path 2 {28},3,20,30's - 34's,46
Path 2 {40},3,20,20's - 24's,41
Path 2 {40},3,12,40's - 44's,17
Path 2 {41},3,20,45's - 49's,4
Path 2 {59},3,20,35's - 39's,14
Path 2 {136},3,12,30's - 34's,20
Path 2 {136},3,9,35's - 39's,9
Path 2 {138},3,12,45's - 49's,2
Path 2 {206},3,12,25's - 29's,1
Path 2 {206},3,9,30's - 34's,1
Path 2 {753},3,9,45's - 49's,1
Path 3 {0},3,20,15's - 19's,166
Path 3 {0},3,9,35's - 39's,40
Path 3 {3},3,20,30's - 34's,88
Path 3 {4},3,20,20's - 24's,105
Path 3 {4},3,9,30's - 34's,64
Path 3 {4},3,12,35's - 39's,33
Path 3 {6},3,20,35's - 39's,55
Path 3 {7},3,20,25's - 29's,122
Path 3 {17},3,9,40's - 44's,36
Path 3 {20},3,12,45's - 49's,11
Path 3 {29},3,20,40's - 44's,36
Path 3 {40},3,9,25's - 29's,77
Path 3 {40},3,12,30's - 34's,59
Path 3 {62},3,12,40's - 44's,12
Path 3 {315},3,9,45's - 49's,5
Path 3 {360},3,20,45's - 49's,3
Path 4 {4},3,9,30's - 34's,39
Path 4 {4},3,12,45's - 49's,4
Path 4 {21},3,20,15's - 19's,3
Path 4 {40},3,9,35's - 39's,25
Path 4 {40},3,12,40's - 44's,2
Path 4 {136},3,9,25's - 29's,18
Path 4 {136},3,12,35's - 39's,9
Path 4 {196},3,9,40's - 44's,8
Path 4 {206},3,20,40's - 44's,4
Path 4 {565},3,9,45's - 49's,2
Path 5 {0},3,20,10's - 14's,136
Path 5 {0},3,9,25's - 29's,210
Path 5 {0},3,12,30's - 34's,202
Path 5 {2},3,20,15's - 19's,432
Path 5 {3},3,20,25's - 29's,145
Path 5 {3},3,9,30's - 34's,141
Path 5 {3},3,12,35's - 39's,125
Path 5 {5},3,9,40's - 44's,74
Path 5 {6},3,9,35's - 39's,79
Path 5 {6},3,12,45's - 49's,13
Path 5 {7},3,20,20's - 24's,67
Path 5 {9},3,20,45's - 49's,8
Path 5 {10},3,9,20's - 24's,125
Path 5 {12},3,20,35's - 39's,37
Path 5 {13},3,20,30's - 34's,52
Path 5 {14},3,12,25's - 29's,55
Path 5 {19},3,20,40's - 44's,37
Path 5 {32},3,12,40's - 44's,86
Path 5 {51},3,9,45's - 49's,12
Path 6 {0},3,9,45's - 49's,7
Path 6 {1},3,20,15's - 19's,32
Path 6 {4},3,9,25's - 29's,79
Path 6 {4},3,20,30's - 34's,36
Path 6 {4},3,12,40's - 44's,4
Path 6 {10},3,9,40's - 44's,26
Path 6 {20},3,9,30's - 34's,68
Path 6 {24},3,9,35's - 39's,16
Path 6 {40},3,20,40's - 44's,12
Path 6 {57},3,9,20's - 24's,18
Path 6 {106},3,20,45's - 49's,3
Path 6 {136},3,20,20's - 24's,12
Path 6 {139},3,20,25's - 29's,7
Path 6 {139},3,12,35's - 39's,3
Path 6 {189},3,20,35's - 39's,9
Path 6 {206},3,12,30's - 34's,2
Path 6 {286},3,12,45's - 49's,5
Path 7 {4},3,12,40's - 44's,16
Path 7 {76},3,12,35's - 39's,14
Path 7 {206},3,20,45's - 49's,1
Path 7 {324},3,12,45's - 49's,9
Path 7 {459},3,12,30's - 34's,1
Path 7 {692},3,12,25's - 29's,1
Path 8 {4},3,12,40's - 44's,13
Path 8 {139},3,12,35's - 39's,10
Path 8 {139},3,20,40's - 44's,7
Path 8 {272},3,12,30's - 34's,3
Path 8 {286},3,12,45's - 49's,4
Path 8 {877},3,12,25's - 29's,1
Path 9 {0},3,20,20's - 24's,125
Path 9 {3},3,20,35's - 39's,46
Path 9 {4},3,20,25's - 29's,92
Path 9 {4},3,12,30's - 34's,57
Path 9 {4},3,9,35's - 39's,40
