O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
0.997,0,14.503102,0.074635,0,0.250024,0.978,0.038756,123.574311,0.17452,0,0.579683,1,0.185067,70.881069,1.239711,0.001961,52.011197,0.998,0.024467,92.366852,0.61033,0,61.62913
0.997,0.000867,16.719214,0.150591,0,248.502732,0.958,0.005822,83.948572,0.104449,0.024289,1559.641172,1,0.073,33.33232,0.573679,0,213.913138,1,0.152289,47.116869,0.684312,0.879618,525.018313
1,0,52.261567,0.349552,0,532.182404,0.989,0.000289,57.681785,0.156264,0,685.302384,1,0,58.271134,1.115099,0,627.061604,1,0,45.274702,0.814794,1.888886,361.112856
0.997,0,7.129626,0.042397,0,0.089366,0.983,0.039644,175.23507,0.23195,0,0.773591,1,0.213978,64.646077,1.060921,0,9.211827,0.998,0.043533,84.110104,0.477746,0.000697,10.162897
0.996,0.000778,24.303545,0.19459,0,0.326663,0.983,0.776956,72.910637,0.083077,0.471277,0.264393,1,0.370044,26.6188,0.490203,0.588185,2.928052,1,0.047822,61.750802,0.546299,0.698997,23.752078
1,0,44.478392,0.293699,0,12.419406,0.993,0.014844,188.347393,0.245494,0,217.580552,1,0,22.099241,0.368164,0.001346,16.157074,1,0,28.562993,0.320789,0.045533,1.684642
0.997,0,26.417759,0.181634,0.004616,0.216564,0.898,0.022489,18.259767,0.109147,0.020483,0.0919,1,0,50.115157,0.930827,0,24.802793,1,0,11.313174,0.129922,2.752333,0.351454
0.997,0.000711,20.647314,0.167795,0,175.314025,0.957,0.006,80.373495,0.17221,0,847.631746,1,0.0826,31.19204,0.562669,0,423.950055,1,0.169511,41.811929,0.598042,1.042371,314.846821
0.998,0,23.21917,0.157876,0,0.400685,0.972,0.000422,50.490538,0.13473,0,0.235027,1,0.066578,36.349892,0.633624,0,22.444593,0.999,0.165978,47.724063,0.425057,0.925311,1.044425
1,0,52.380126,0.308013,0,1.127045,0.977,0,108.540692,0.10264,0.016466,0.642616,1,0,21.437289,0.360036,0.01193,3.393813,1,0,39.856105,0.391163,0.023329,10.17789
1,0,76.617269,0.401239,0,76.416762,0.988,0,121.674452,0.161701,0,44.38373,1,0.028511,18.765691,0.333177,0,32.468401,1,0.045711,27.962161,0.297826,0.089954,11.096238
0.987,0,30.407475,0.115369,0.033986,91.268145,0.943,0.316067,47.556835,0.120308,0.46152,116.044123,1,0,17.897945,0.32996,0.025388,41.769735,1,0,3.710634,0.094787,8.784183,11.168355
1,0.042156,16.793844,0.173873,0,0.277874,0.987,0.876178,74.284327,0.160833,0.408362,0.335424,1,0.294356,7.926149,0.163476,0.428194,1.178741,1,0.414889,49.435657,0.343512,1.424733,0.946192
0.985,0.001911,7.047221,0.049567,0,0.123571,0.966,0.034333,70.409389,0.073373,0.232281,0.268036,1,0.473978,8.084945,0.264989,0.359213,1.31501,1,0.611578,4.699449,0.081685,9.627782,0.084079
0.984,0,16.662313,0.154394,0,0.140005,0.931,0.057822,28.137373,0.116677,0.016417,0.112352,1,0,39.17257,0.708322,0,17.01356,0.999,0,23.273941,0.324314,2.566983,0.53247
1,0,43.523021,0.186643,0,1.064939,0.989,0.016956,152.627556,0.149768,0,1.023133,1,0.063511,25.721835,0.433121,0,20.319406,1,0.03,45.884304,0.452007,0.005034,7.638711
1,0,27.499248,0.117138,0,0.609918,0.994,0.061733,92.853284,0.173784,0,0.565762,1,0.066644,43.003253,0.753371,0,19.92229,1,0.044956,90.545475,0.922047,0.0313,8.556673
1,0,48.286852,0.298225,0.058522,1.131423,0.986,0.000667,143.097602,0.191656,0,12.869592,1,0,12.084307,0.207074,0.078637,6.207543,1,0,27.923492,0.444414,0.011482,130.099659
0.999,0.000067,25.408447,0.176517,0,0.488291,0.99,0.074378,49.671952,0.103343,0.130591,0.259202,1,0.246133,46.194435,0.884887,0.148598,7.980159,0.996,0.4272,30.33522,0.328396,2.015178,0.689385
1,0,64.658929,0.296099,0,21.628145,0.968,0.001356,71.059052,0.162465,0,76.591899,1,0.048711,59.235047,0.946316,0,39.737714,1,0.059156,71.919362,0.772339,0.812451,224.771786
1,0,25.738118,0.18083,0,353.495883,0.989,0,45.076362,0.114948,0,699.758159,1,0.021511,67.420926,1.299457,0.041206,894.518752,1,0.0934,65.80659,1.324277,1.020074,760.118163
1,0,51.119451,0.320736,0,1.313947,0.989,0.001244,127.946676,0.131244,0,71.113407,1,0,19.898854,0.379703,0,5.913739,1,0,31.968202,0.380411,0.013006,9.332932
0.999,0,16.867925,0.145095,0,0.25072,0.96,0.000311,80.774208,0.14936,0,0.326116,1,0,38.317703,0.69179,0,6.773587,1,0,127.125227,0.849694,0,11.651485
1,0,58.904012,0.293345,0,791.556783,0.983,0.008378,64.76862,0.075505,0,923.609829,1,0,18.331705,0.379262,0.01011,194.552574,0.985,0,72.52267,1.169063,0.116086,747.390661
1,0,49.884931,0.26768,0,1.414523,0.984,0.000378,146.565955,0.210843,0,1.140372,1,0.075556,14.428216,0.273121,0,3.1911,1,0.065489,27.577265,0.371784,0.095285,3.110674
1,0,71.145705,0.429079,0,673.497286,0.98,0.004133,58.998511,0.065709,0.04253,604.432936,1,0.0218,58.398114,1.009377,0,589.531678,1,0.045956,57.288617,0.762669,0.136602,332.945742
