NPC,REL,RF,PFC,WCC,UC
123.574311,0.978,0.185067,1.239711,0.001961,61.62913
83.948572,0.958,0.152289,0.684312,0.879618,1559.641172
58.271134,0.989,0.000289,1.115099,1.888886,685.302384
175.23507,0.983,0.213978,1.060921,0.000697,10.162897
72.910637,0.983,0.776956,0.546299,0.698997,23.752078
188.347393,0.993,0.014844,0.368164,0.045533,217.580552
50.115157,0.898,0.022489,0.930827,2.752333,24.802793
80.373495,0.957,0.169511,0.598042,1.042371,847.631746
50.490538,0.972,0.165978,0.633624,0.925311,22.444593
108.540692,0.977,0,0.391163,0.023329,10.17789
121.674452,0.988,0.045711,0.401239,0.089954,76.416762
47.556835,0.943,0.316067,0.32996,8.784183,116.044123
74.284327,0.987,0.876178,0.343512,1.424733,1.178741
70.409389,0.966,0.611578,0.264989,9.627782,1.31501
39.17257,0.931,0.057822,0.708322,2.566983,17.01356
152.627556,0.989,0.063511,0.452007,0.005034,20.319406
92.853284,0.994,0.066644,0.922047,0.0313,19.92229
143.097602,0.986,0.000667,0.444414,0.078637,130.099659
49.671952,0.99,0.4272,0.884887,2.015178,7.980159
71.919362,0.968,0.059156,0.946316,0.812451,224.771786
67.420926,0.989,0.0934,1.324277,1.020074,894.518752
127.946676,0.989,0.001244,0.380411,0.013006,71.113407
127.125227,0.96,0.000311,0.849694,0,11.651485
72.52267,0.983,0.008378,1.169063,0.116086,923.609829
146.565955,0.984,0.075556,0.371784,0.095285,3.1911
71.145705,0.98,0.045956,1.009377,0.136602,673.497286
174.861987,0.992,0.062333,0.379241,0.103993,14.992519
70.493306,0.955,0.010822,0.793658,0.236255,42.250194
148.24828,0.989,0.060489,0.415599,0.476327,41.688692
209.376276,0.996,0.000133,0.371932,0.034744,401.106467
139.153291,0.996,0.031356,0.388679,0.294731,1953.938147
152.646342,0.991,0.066867,0.381221,0.221623,72.080505
78.052906,0.928,0.406311,0.383134,0.434226,5.255811
129.329228,0.991,0.075711,0.326731,0.225153,36.314128
114.359815,0.995,0.046267,0.38645,0.017107,100.661971
102.831949,0.957,0.124467,1.76288,0.002402,17.012444
109.835793,0.985,0.028689,1.162526,0,317.975504
98.445422,0.984,0.057267,0.769472,0.001974,19.949164
131.161799,0.989,0.030267,0.715839,0.019289,223.970043
100.65294,0.996,0.032711,0.649132,0.233966,1429.689519
151.821012,0.984,0.002933,0.401886,0,9.741596
133.956039,0.984,0.081489,0.35552,0.199367,102.630217
135.298657,0.983,0.1032,0.387582,0.115806,4.909211
131.79278,0.988,0.052867,0.729691,0,91.421158
142.891636,0.985,0.041044,0.731044,0.040423,68.618554
129.16862,0.988,0.094133,0.375631,0.079985,74.645368
53.202262,0.985,0.347556,0.591472,2.490275,405.582517
61.147682,0.982,0.561689,0.672188,1.707553,81.337284
74.049214,0.986,0.081133,1.11477,0.213384,214.842995
137.630029,0.983,0.000022,0.377066,0.01146,72.580114
72.906082,0.961,0.1622,0.706949,0.244327,662.811659
110.724095,0.987,0.043467,0.671218,0.203224,23.257983
130.357254,0.985,0.097333,0.349152,0.155481,3.225801
71.514587,0.987,0.142489,0.772632,0.177639,192.356904
114.568402,0.992,0.037311,0.567996,0,21.338392
135.711466,0.986,0.103022,0.349454,0.155462,28.906219
164.050056,0.99,0.038933,0.761353,0.060073,16.490609
178.181145,0.986,0.061311,0.429679,0.053609,112.310862
110.152724,0.986,0.048422,0.398166,0.145938,25.310576
192.97167,0.995,0.041044,0.885168,0.18811,16.433733
48.286204,0.968,0.255533,0.910975,1.127342,9.376215
153.644508,0.995,0.001489,0.341303,0.256972,44.687571
57.873833,0.957,0.033244,0.592065,2.27331,338.008751
166.307147,0.976,0.083333,0.374458,0.134973,5.774642
140.197139,0.992,0.060844,0.553129,0.094021,143.233196
136.114501,0.995,0.081778,0.367164,0.110642,68.946967
133.728832,0.988,0.034333,0.774843,0.045833,339.726654
143.263767,0.993,0.0654,0.788354,0.034535,219.241704
